epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.802044153213501,0.8486902713775635,0.0010000000474974513,0.9176846742630005,0.802044153213501,0.802044153213501,0.745064377784729,0.8224325180053711,1.3478116989135742,0.745064377784729,0.745064377784729
1,0.8589534163475037,0.9202743768692017,0.0010000000474974513,0.4189813733100891,0.8589534163475037,0.8589534163475037,0.7742488980293274,0.9168298244476318,0.507105827331543,0.7742488980293274,0.7742488980293274
2,0.8821749687194824,0.949505090713501,0.0010000000474974513,0.29893985390663147,0.8821749687194824,0.8821749687194824,0.760515034198761,0.9143800735473633,0.6112595200538635,0.760515034198761,0.760515034198761
3,0.8861815333366394,0.9499749541282654,0.0010000000474974513,0.2946707010269165,0.8861815333366394,0.8861815333366394,0.8008583784103394,0.9310324192047119,0.39064329862594604,0.8008583784103394,0.8008583784103394
4,0.8862633109092712,0.9499974250793457,0.0010000000474974513,0.2960571050643921,0.8862633109092712,0.8862633109092712,0.7785407900810242,0.9243794679641724,0.47404345870018005,0.7785407900810242,0.7785407900810242
5,0.8877350687980652,0.9489580392837524,0.0010000000474974513,0.29856786131858826,0.8877350687980652,0.8877350687980652,0.8137339353561401,0.9273601174354553,0.40868446230888367,0.8137339353561401,0.8137339353561401
6,0.8858544826507568,0.9506887197494507,0.0010000000474974513,0.3012126386165619,0.8858544826507568,0.8858544826507568,0.8437768220901489,0.9393762350082397,0.37318629026412964,0.8437768220901489,0.8437768220901489
7,0.8831561803817749,0.9469895958900452,0.0010000000474974513,0.31490594148635864,0.8831561803817749,0.8831561803817749,0.8892703652381897,0.9563813805580139,0.2847020626068115,0.8892703652381897,0.8892703652381897
8,0.8771054744720459,0.9383542537689209,0.0010000000474974513,0.3636370599269867,0.8771054744720459,0.8771054744720459,0.8703862428665161,0.9425501823425293,0.3593475818634033,0.8703862428665161,0.8703862428665161
9,0.8712183237075806,0.930891215801239,0.0010000000474974513,0.4020974636077881,0.8712183237075806,0.8712183237075806,0.8429184556007385,0.9125679731369019,0.5323282480239868,0.8429184556007385,0.8429184556007385
10,0.8627146482467651,0.9192556142807007,0.0010000000474974513,0.4934777021408081,0.8627146482467651,0.8627146482467651,0.7922746539115906,0.9058933258056641,0.6313093304634094,0.7922746539115906,0.7922746539115906
11,0.8780866861343384,0.9435691833496094,0.0005000000237487257,0.3388638198375702,0.8780866861343384,0.8780866861343384,0.8523604869842529,0.9162225723266602,0.5322156548500061,0.8523604869842529,0.8523604869842529
12,0.874979555606842,0.936750054359436,0.0005000000237487257,0.3740324079990387,0.874979555606842,0.874979555606842,0.7948498129844666,0.9174278974533081,0.519183337688446,0.7948498129844666,0.7948498129844666
13,0.8748977780342102,0.9358055591583252,0.0005000000237487257,0.37761032581329346,0.8748977780342102,0.8748977780342102,0.8283261656761169,0.919579029083252,0.48490676283836365,0.8283261656761169,0.8283261656761169
14,0.8859362006187439,0.9508134722709656,0.0002500000118743628,0.30747053027153015,0.8859362006187439,0.8859362006187439,0.764806866645813,0.9197732210159302,0.5811319351196289,0.764806866645813,0.764806866645813
15,0.8879804015159607,0.9509087800979614,0.0002500000118743628,0.3017764687538147,0.8879804015159607,0.8879804015159607,0.8266094326972961,0.9282625913619995,0.4003974497318268,0.8266094326972961,0.8266094326972961
