epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7948487401008606,0.8267501592636108,0.0010000000474974513,1.271254062652588,0.7948487401008606,0.7948487401008606,0.8300428986549377,0.8989303112030029,0.7023495435714722,0.8300428986549377,0.8300428986549377
1,0.8514308929443359,0.9031251072883606,0.0010000000474974513,0.5641616582870483,0.8514308929443359,0.8514308929443359,0.8437768220901489,0.9371557235717773,0.34121283888816833,0.8437768220901489,0.8437768220901489
2,0.8740801215171814,0.9430884122848511,0.0010000000474974513,0.31885233521461487,0.8740801215171814,0.8740801215171814,0.8231759667396545,0.9359253644943237,0.3894437551498413,0.8231759667396545,0.8231759667396545
3,0.8827473521232605,0.9490803480148315,0.0010000000474974513,0.3012286424636841,0.8827473521232605,0.8827473521232605,0.8068669438362122,0.928744912147522,0.4264032542705536,0.8068669438362122,0.8068669438362122
4,0.8835650086402893,0.9479902982711792,0.0010000000474974513,0.30009326338768005,0.8835650086402893,0.8835650086402893,0.8360515236854553,0.9415217638015747,0.3642599880695343,0.8360515236854553,0.8360515236854553
5,0.8912510275840759,0.9574799537658691,0.0005000000237487257,0.27342718839645386,0.8912510275840759,0.8912510275840759,0.8575107455253601,0.9493915438652039,0.304821252822876,0.8575107455253601,0.8575107455253601
6,0.8971381783485413,0.9585245847702026,0.0005000000237487257,0.26784902811050415,0.8971381783485413,0.8971381783485413,0.8343347907066345,0.9391787648200989,0.3735944628715515,0.8343347907066345,0.8343347907066345
7,0.8969746232032776,0.9595141410827637,0.0005000000237487257,0.2634563148021698,0.8969746232032776,0.8969746232032776,0.8944206237792969,0.9534432291984558,0.27854952216148376,0.8944206237792969,0.8944206237792969
8,0.8933769464492798,0.9573190212249756,0.0005000000237487257,0.27337387204170227,0.8933769464492798,0.8933769464492798,0.8068669438362122,0.9301146268844604,0.4333896040916443,0.8068669438362122,0.8068669438362122
9,0.8904333710670471,0.9545900821685791,0.0005000000237487257,0.28466135263442993,0.8904333710670471,0.8904333710670471,0.784549355506897,0.9245671033859253,0.47118282318115234,0.784549355506897,0.784549355506897
10,0.8860179781913757,0.9522461891174316,0.0005000000237487257,0.2898543179035187,0.8860179781913757,0.8860179781913757,0.8643776774406433,0.9441978931427002,0.3152778446674347,0.8643776774406433,0.8643776774406433
11,0.8913328051567078,0.9559914469718933,0.0002500000118743628,0.27821072936058044,0.8913328051567078,0.8913328051567078,0.8171674013137817,0.9358588457107544,0.37683993577957153,0.8171674013137817,0.8171674013137817
12,0.8989370465278625,0.9590088129043579,0.0002500000118743628,0.2675478160381317,0.8989370465278625,0.8989370465278625,0.8618025779724121,0.9458082914352417,0.32020699977874756,0.8618025779724121,0.8618025779724121
13,0.8944398760795593,0.9572587013244629,0.0002500000118743628,0.27082559466362,0.8944398760795593,0.8944398760795593,0.8343347907066345,0.9405537843704224,0.3488793671131134,0.8343347907066345,0.8343347907066345
14,0.89860999584198,0.9633093476295471,0.0001250000059371814,0.2539268136024475,0.89860999584198,0.89860999584198,0.8103004097938538,0.9324710369110107,0.3895663917064667,0.8103004097938538,0.8103004097938538
15,0.8977923393249512,0.9596385955810547,0.0001250000059371814,0.26391080021858215,0.8977923393249512,0.8977923393249512,0.8077253103256226,0.9304544925689697,0.3946736752986908,0.8077253103256226,0.8077253103256226
